author,time,content,num_likes
MiRi,50:30, 라면꼰대x 꼰대라면o,1
Tongki Lee,29:23," 위험발언, 좌표찍었습니다.",1
Hyunu,11:54,,1
Hyunu,12:10,,1
-극락,48:25, 유비드립 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
Hyunu,16:10,,1
Hyunu,20:55,,1
Hyunu,22:42, ,1
Hyunu,25:45,,1
Hyunu,29:45,,1
Hyunu,30:55,,1
캉캉,50:15, 선율보다 더 선율,0
자러감,35:57,,0
judy choi,25:40,,0
알새우칩,15:30,,0
판설,40:57,,0
내맴,55:55, 폐회사로 Ditto를 부르는 아저씨들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
youngforever,15:40, ㅋㅋㅋㅋㅋ 미쳤나봐 ㅋㅋㅋㅋㅋㅋㅋㅋ 표정 봐 ㅋㅋㅋㅋㅋㅋ 주펄님 찐사랑 하시네요 ㅋㅋㅋㅋ,0
오진우,33:20,,0
TAPIOCA 55,8:52, 😂😂😂😂😂,0
Galadriel14,51:23, 마음이 못 생겼다,0
WideCircle K,8:28,,0
*•-•*,30:36,,0
이상현,4:50, 침부투 ㅋㅋ,0
jaam sung,40:30,,0
ᄋᄋᄋ,21:23,,0
록시 미굴디아,21:00,,0
김동현,27:07, &quot;명분&quot;,0
적당이,33:45,,0
Edward kim,32:29,,0
최씨랍니다,3:21, 호민이형  노출 ㅗㅜㅑ,0
김동언,6:05, 확실히 돈 생각 안해도 되는 사람들은 생각이 다르네.,0
유준규,37:13, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
yojou,35:10,,0
재은,55:55, 늙고해진스,0
뿅뿅,28:25,,0
사마,1:00:00,,0
김신념,55:55, 는 어도어에서 고소할지도 몰라. 뉴진스도 보내줬었는데 이렇게 멕여?,0
조수창,50:05, 분 부터 김풍 아이처럼 웃는거 개귀여움,0
김동영,30:42, 따끔해요,0
북거,12:00,,0
