comment,author,date,num_likes
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=11m55s"">11:55</a>  💯💯🔥🔥🔥",공인중개사·주택관리사도 역시 1위 해커스 ,2023-01-26T05:58:54Z,7
주현영 본명 주씨 아닌데ㅋㅋㅋㅋ,띵가뿜빠,2023-01-26T05:56:23Z,0
한동규 피디님 엄청 멀쩡하게 생기셨네요..?,Lauren Kim,2023-01-26T05:45:28Z,0
준빈이형 진짜 개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,도로시와 깡통로봇,2023-01-26T05:39:36Z,0
노래부르는게 제일 킹받네<br>끄지도 못하는 내 자신이 하...,HolaTV,2023-01-26T04:32:03Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=55m55s"">55:55</a> 폐회사로 Ditto를 부르는 아저씨들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",내맴,2023-01-26T04:14:54Z,0
이번영상 ㄹㅇ 옛날느낌나서 너무 재밌네 ㅋㅋ,maos qox,2023-01-26T04:07:58Z,0
"If you’re interested me ?  <br><br>COME <br><br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=8m52s"">8:52</a> 😂😂😂😂😂",TAPIOCA 55,2023-01-26T02:45:01Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=33m20s"">33:20</a>",오진우,2023-01-26T01:38:55Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=55m56s"">55:56</a> 저주 받은 디토 ㅋㅋㅋㅋㅋㅋ",한방에훅간다,2023-01-26T01:07:26Z,4
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=15m40s"">15:40</a> ㅋㅋㅋㅋㅋ 미쳤나봐 ㅋㅋㅋㅋㅋㅋㅋㅋ 표정 봐 ㅋㅋㅋㅋㅋㅋ 주펄님 찐사랑 하시네요 ㅋㅋㅋㅋ",youngforever,2023-01-26T00:14:37Z,0
혁준이랑 강현이는 안불렀네.....,박재현사랑,2023-01-26T00:07:15Z,0
애국가 으딧음?,howhow,2023-01-25T23:23:55Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=48m25s"">48:25</a> 유비드립 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",-극락,2023-01-25T20:15:16Z,1
"무기력했던 하루를, 여섯 아저씨들의 디토 합창을 보고 크게 웃음 지으며 마칩니다.",냐나,2023-01-25T19:38:27Z,1
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=35m57s"">35:57</a>",자러감,2023-01-25T19:18:02Z,0
