,제목,채널 명,스트리밍 시작 시간,댓글 작성자,댓글 내용,댓글 작성 시간
0,흑태자,2023-01-24 21:11:10,페노형 국내 커뮤니티 어디보세요
0,앨런어른버슨,2023-01-24 21:11:11,트윗발 소식보셈 ㄱㄱ
0,뉴B타민,2023-01-24 21:11:12,오현규 선수는 가서 경험만 잘 쌓으면 잘될거 같아요
0,귤,2023-01-24 21:11:14,에펨코리아 가면 알아서 축잘알들이 공신력 높은 기사 공유해옴 ㅋㅋㅋ
0,파란하늘,2023-01-24 21:11:16,축구커뮤니티 추천해주세여
0,dss assd,2023-01-24 21:11:17,네이버=국뽕유투버
0,에그베네,2023-01-24 21:11:18,새축전 보면 됩니다ㅋㅋㅋㅋ
0,앨런어른버슨,2023-01-24 21:11:20,트윗 유명기자들 팔로우해놓고 보는게 제일 정신건강에 좋음
0,바모스,2023-01-24 21:11:27,네이버 어그로 기사 많은듯
0,도라에몽,2023-01-24 21:11:28,BBC 번역본보는게 좋은듯
0,에그베네,2023-01-24 21:11:32,달수네 혹은 새축전
0,앨런어른버슨,2023-01-24 21:11:32,커뮤는 정신나갈것같음 ㅋㅋㅋㅋ
0,zizou,2023-01-24 21:11:35,1티어 기자들 있음
0,파란하늘,2023-01-24 21:11:51,로마노 산티아너 
0,퍼시픽스카이,2023-01-24 21:11:52,골드기자~~
0,bigflower,2023-01-24 21:11:55,이성모기자님 채널 봐요.
0,Sh Yeon,2023-01-24 21:12:01,히어위고 로마노
0,Seasons lee,2023-01-24 21:12:01,로마노 아니면 각구단 기자들 ㅋ
0,에그베네,2023-01-24 21:12:05,구글 번역기
0,앨런어른버슨,2023-01-24 21:12:05,ㅇㅈ
0,수우아레즈으,2023-01-24 21:12:08,어그로 유튜버들 구독자들 수 보면 한숨만 나와요. 어그로 뉴스로 5만도 금방 찍는 것 같아요
0,bigflower,2023-01-24 21:12:18,온스테인 기자. 로마노 기자. 골드기ㅣ자
0,도맨,2023-01-24 21:12:20,ㅋㅋ
0,denny,2023-01-24 21:12:21,번역도 되고 좋은 세상임
0,바모스,2023-01-24 21:12:21,현지
0,바모스,2023-01-24 21:12:30,현지 기사가 제일이지
0,퍼시픽스카이,2023-01-24 21:12:32,골드 로마노
0,Sh Yeon,2023-01-24 21:12:37,로마노 = BBC
0,앨런어른버슨,2023-01-24 21:12:46,네이버는 제발 보지마세요 
0,대호야쌔리라,2023-01-24 21:12:46,페노 기자 채고지
0,파란하늘,2023-01-24 21:12:52,자세한 정보 감사합니닷 
