comment,author,date,num_likes
대화 틈새에 깐족대는 주펄님 너무 웃겨요<br>세상에서 제일 귀여운 동그라미,Lee,2023-01-25T04:25:49Z,2
저작권 절대 안 걸릴 것이라고 판단하셨나요 디토 합창은 걍 틀어버리시넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,치즈탐험신비의세계,2023-01-25T04:13:53Z,0
하 암만 봐도 전무님 태극기 밀당이랑 주펄의 째즈국가가 빠진건 아쉽네요..이게다 국익을 위해서 그러신거겠죠?,봤구나마타타,2023-01-25T04:12:17Z,0
곽튜브 매력둥이ㅋㅋ,김서현,2023-01-25T04:11:44Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=20m00s"">20:00</a>",지수함수e,2023-01-25T04:08:11Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=4m50s"">4:50</a> 침부투 ㅋㅋ",이상현,2023-01-25T04:00:54Z,0
상 받을때 저 무지개이끼도 같이줘서 상패가 무지개색이 되서 더 간지남,침수,2023-01-25T04:00:49Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=29m23s"">29:23</a> 위험발언, 좌표찍었습니다.",Tongki Lee,2023-01-25T03:57:27Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=21m00s"">21:00</a>",록시 미굴디아,2023-01-25T03:53:35Z,0
재밌따..................,Jireh,2023-01-25T03:50:38Z,0
왜 최고민수는 없는가,정재,2023-01-25T03:40:47Z,0
누진세 엔딩무대까지 완벽...,Noth,2023-01-25T03:38:21Z,0
아니 시상식 과정보다 노래 부르는 게 더 웃기는 게 말이 되냐고 ㅋㅋㅋㅋ,Brian Kim,2023-01-25T03:36:52Z,0
준빈쿤 최신순으로 이 댓글도 보려나?? 항상 응원합니다 준빈쿤!!!,똥궁딩잉,2023-01-25T03:31:06Z,0
준빈쿤 말하기 전에 생각했나요?,김민준,2023-01-25T03:26:26Z,1
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=27m07s"">27:07</a> &quot;명분&quot;",김동현,2023-01-25T03:22:31Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=33m45s"">33:45</a><br>트위치 - 사과해<br>유튜브 - 할일없긴해 ㅋㅋ<br>반응 극과극인게 웃기네 ㅋㅋㅋ",적당이,2023-01-25T03:17:22Z,0
다같이 디토 개열심히 부르는게 개웃기네ㅋㅋ,구와아악,2023-01-25T03:05:43Z,0
준빈쿤은 진짜 전설이다,SY,2023-01-25T02:59:06Z,0
준빈쿤 입장하자마자 간신배 웃음 개웃기네..ㅋㅋ,s22울트라그린,2023-01-25T02:53:18Z,0
58분 순삭당했어... 마지막 디토 마무리까지 무쳤다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 세번째 듣는중ㅋㅋㅋㅋㅋ,청아한청아,2023-01-25T02:37:34Z,4
한시간동안 웃다가 갑니다,란팡팡,2023-01-25T02:12:28Z,0
☆☆☆●☆▪︎▪︎●●7광구에 대해서 다뤄주세요 진짜 우리나라 미래가 달린 일입니다.셜록현준 유튜브에 홍기자님 초대 부탁드립니다 ㅠㅠㅜㅜ,럭키부부,2023-01-25T02:07:35Z,0
폐회사에서 흑마술까지 완벽하다,반려인간_유진,2023-01-25T01:43:58Z,0
와 이거 개꿀잼인데 원본도 개꿀인가?,철별,2023-01-25T01:38:29Z,0
ㅇㅇ,김승환,2023-01-25T02:05:53Z,0
"진짜 보면서 생각보다 유튜브에 진심을 가지고 임해주시는 분들인 것을 알 수 있었고, 이로 인해 작년에 재미있는 컨텐츠들과 양질의 영상을 볼 수 있었던 거 같아 너무 고맙다고 느낀다. 유튜브로 성공하는 사람들은 역시 다르는게 확실하게 느껴진다...",오구일,2023-01-25T01:15:45Z,4
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=7m03s"">7:03</a> 한 동규조커님 쭈구리고 나가는 거 왜이렇게 웃기지 ㅋㅋㅋㅋㅋㅋㅋㅋ",장자크물소,2023-01-25T01:11:13Z,6
올드진스 나도 모르게 따라 불렀네ㅋㅋㅋㅋ,jj choi,2023-01-25T01:07:13Z,0
작년까지는 이상한 흙덩이가 트로피라 하더니 올해는 그래도 제대로된 트로피 만들었네요 ㅋㅋㅋ<br>올해는 트로피 부수기 안하나요?,rns C,2023-01-25T01:05:14Z,0
침펄풍님 곽튜브님 말할때마다 긍정적으로 호응해주셔서 따뜻하네요,리리,2023-01-25T00:56:31Z,3
곽튜브는 이미 고점 찍은거같은데ㅋㅋ,koandkull,2023-01-25T00:34:08Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=05m28s"">05:28</a> 곽튜브옆에 빠니보틀도 왓네",Eun Jin Lee,2023-01-24T23:58:22Z,1
디토 킹받내..,정유라,2023-01-24T23:41:31Z,0
마이크가 엄청  자주 튀는데 뭐가 문제인지...,ざぶ,2023-01-24T23:37:52Z,0
DITTO 어쩔거예요?? 내용증명 날아갈것같아요 ㅋㅋㅋㅋㅋㅋㅋㅌ김풍님 알 넣어야할듯요. ㅋㅋㅋ,HS Jeon,2023-01-24T23:21:10Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=46m15s"">46:15</a>",이은영,2023-01-24T23:11:38Z,0
주펄... 그의 인생자체가 비혼개그다...,Kim,2023-01-24T23:10:56Z,1
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=32m29s"">32:29</a>",Edward kim,2023-01-24T22:56:33Z,0
원래 디토가 저렇게 먼지가득 낀 느낌이였나 ㅋㅋㅋㅋㅋㅋ,helloiamcrong,2023-01-24T20:53:22Z,1
준빈쿤 ㅋㅋㅋㅋㅋㅋㅋ😊 매력있어 긔엽다 2023도 화이팅 🎉🎉,Choi,2023-01-24T20:39:56Z,0
진짜…… 이제 뉴진스 못 듣는다…😭,JK,2023-01-24T20:25:20Z,0
과연 준빈쿤 올해의 인물다운 퍼포먼스네요 ㅋㅋ,hanjm13,2023-01-24T20:08:16Z,5
카더가든 주우재 왜안나옴,배일,2023-01-24T20:04:07Z,0
김풍은 볼때마다 새롭다..,Keepmyspiritalive,2023-01-24T19:40:29Z,1
디토 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,TheBaddestmale,2023-01-24T19:34:14Z,0
벌써 58분이 다 지나갔어.. ㅠㅠ 재밌었다 ㅎㅎ,유준규,2023-01-24T19:07:27Z,0
귀신나온다는거 웃기넼ㅋㅋㅋ,이승철,2023-01-24T18:43:15Z,0
아 재밌게 보다가 마지막 디토에서 진짜 개웃었네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,utan orang,2023-01-24T18:31:29Z,3
범인찾기,개미핥기핥기,2023-01-24T18:29:51Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=55m56s"">55:56</a> 시민회관에서 공연한다고 정장 빼입은 중장년 합창단 같음",이가연,2023-01-24T18:25:14Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=21m52s"">21:52</a> 주씨들이 잘한다고 했는데, 이악물고 주펄은 언급 안해줌 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",민병조,2023-01-24T18:18:47Z,3
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=7m57s"">7:57</a> 준빈쿤 영어 광고 들어오면 좋겠닼ㅋㅋㅋㅋㅋ 실전영어는 저게 맞짘ㅋㅋㅋㅋㅋㅋㅋㅋ 너무 웃었넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",François Petit,2023-01-24T18:10:49Z,8
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=3m21s"">3:21</a> 호민이형  노출 ㅗㅜㅑ",최씨랍니다,2023-01-24T17:57:16Z,0
애국가에서 디토로 넘어가는 빌드는 진짜 ㅋㅋㅋㅋ,MyaRee,2023-01-24T17:52:31Z,0
준빈쿤 차려입으니까 왤케 꼬마도련님 같음? ㅋㅋㅋㅋ<br>동그란 안경 졸귀엽네 ㅋㅋㅋㅋㅋ,54 10,2023-01-24T17:39:37Z,2
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=6m05s"">6:05</a> 확실히 돈 생각 안해도 되는 사람들은 생각이 다르네.<br><br><br> 나는 하스스톤할 때 팩 하나, 투기장 이용권 하나 뿌리면 되게 좋아했는데 돈에 신경 안쓰고 사는 사람은 그런 걸 싫어할 수도 있구나.<br><br> 새로운 관점을 알아갑니다.",김동언,2023-01-24T17:38:19Z,0
Ditto합창 진짜 킹받네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,용감한오리,2023-01-24T17:36:44Z,2
전무님 폼 좋으시네 ㅋㅋㅋ,용용,2023-01-24T17:27:16Z,0
한번보고 조커피디님 웃참 리액션만 보려고 또보게되네요ㅋㅋㅋㅋ,JADA JANG,2023-01-24T17:25:52Z,0
쇼츠로 올라오는 18년 침착맨 보다가 지금모습보는데 이게 디토지 ㅋㅋㅋ,병걸시,2023-01-24T17:20:39Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=37m13s"">37:13</a> ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",유준규,2023-01-24T17:18:46Z,0
이건 원본 ㅋㅋ,지우개,2023-01-24T17:17:07Z,0
준빈쿤 꾸미고온거 ㅈㄴ 귀엽네ㅋㅋㅋㅋㅋ,최유진,2023-01-24T16:59:23Z,4
공로상 궤도도 줘잉...,김경민,2023-01-24T16:57:19Z,2
6월까지 상안받아가면 궤주라!,WIMA,2023-01-24T16:54:38Z,0
컴타운 어워즈..ㅋㅋㅋㅋ,umha hahaha,2023-01-24T16:52:06Z,0
